Var1,Var2,Var3,Var4,,,,
52,3545.7,792.94,-469.05,8227.7,3000,130.89,0
53,3052.8,2427,101.61,7332.7,3000,132.15,1
54,3105.8,2436.6,101.61,14695,3000,130.18,0
65,3079.7,2416,165,8284.7,3000,129.21,1
66,3065,2428.4,165,7011.7,3000,149.52,1
66,1676.2,4533.5,184.3,8190.4,3000,123.46,1
67,1660.8,4484.2,184.3,5413.8,3000,104.32,1
70,130.48,865.06,188.72,5417,3000,114.52,1
71,143.86,862.07,188.72,0,3000,-4.85E+20,1
71,4907.6,2589.5,-122.55,5762.4,3000,160.15,0
71,1888.5,2170.1,246.55,10556,3000,138.47,1
72,1872.4,2182.7,246.55,7950.4,3000,134.93,1
72,2251,3616.8,137.82,12131,3000,135.03,1
72,5237.6,2694.6,261.81,7246.1,3000,101.77,1
73,2192.3,3644.6,137.82,13168,3000,129,1
73,5222.5,2727.9,261.81,13175,3000,121.95,1
74,2240.6,3624.5,137.82,3513.8,3000,143.26,1
75,1780,2190.2,288.72,3857.9,3000,104.79,1
75,5280.5,2746.7,169.5,9105.3,3000,128.64,1
76,5305,2736.5,169.5,14878,3000,117.36,1
76,2343.6,3184.9,-207.06,5436.7,3000,94.558,0
77,5792.4,2933.4,186.67,10578,3000,237.48,0
78,5750.9,3039.4,186.67,13361,3000,171.4,1
78,4528.1,2563.6,-26.128,6620.3,3000,178.05,1
79,5770.1,3063.4,186.67,10885,3000,160.56,1
80,5831.2,3124.9,186.67,11506,3000,129.75,1
80,130.87,870.61,419.02,4288.4,3000,129.04,1
81,5798.2,3126.2,186.67,9319.9,3000,133.49,1
82,5788.9,3110.1,186.67,7960.3,3000,111.59,1
85,3836.1,2458,-32.483,3982.1,3000,160.54,0
86,6228.6,3471.7,231.1,5779.4,3000,172.77,1
88,1533.3,1941.2,280.13,12143,3000,103.71,1
89,3959.2,2489,124.74,4947.4,3000,133.17,1
90,1425.2,5877.7,249.33,5913.8,3000,60.007,1
90,2004.5,3764.4,166.21,4784.3,3000,146.44,1
91,2045.1,3660.8,166.21,3440.6,3000,157.99,1
94,1415.1,5123.9,24.495,7473.9,3000,156.51,1
95,1435.8,5203.1,24.495,5373.1,3000,147.75,1
98,1544.4,6071.2,-186.69,8124.4,3000,124.59,0
99,2693.5,2489.4,-244.87,13253,3000,129.82,0
100,2712.1,2541.2,-244.87,6116.3,3000,160.01,0
101,1519.1,6078.9,-67.376,7642.1,3000,134.76,0
101,5481.8,2867.1,176.9,10394,3000,137.66,1
102,1536.3,6056.4,-67.376,5262.8,3000,168.52,0
103,1569.8,6061.2,-67.376,8392.8,3000,137.17,0
103,5419.4,2787.1,-171.86,5289.1,3000,150.2,0
104,5455.7,2783,-171.86,5128.9,3000,180.43,0
106,1431.7,5650.1,449.35,4980,3000,169.71,1
107,1403.9,5668.8,449.35,6116.9,3000,169.03,1
108,1400.6,5698.7,449.35,3177.6,3000,327.51,1
108,1455.8,5095.5,14.84,7218.8,3000,175.56,1
108,2258.1,3156.5,38.382,9257.2,3000,152.94,1
109,1459.6,5124.9,14.84,8630.5,3000,144.09,1
109,2297.5,3230.2,38.382,10115,3000,145.02,1
110,2297.3,3204.1,38.382,8332.2,3000,179.57,1
110,4611.9,2562.9,85.966,10121,3000,137.9,1
111,4601.9,2568.4,85.966,4545,3000,105.73,1
112,1441.1,5126.8,-49.181,5904.7,3000,205.81,1
113,1418.3,5121,-49.181,5729.8,3000,157.5,1
113,2028.8,3631.4,30.927,4565.4,3000,134.49,1
119,1410.5,5781,586.11,3571.6,3000,248.94,1
121,4166.6,2466.3,-116.42,2175.7,3000,116.83,0
123,3400,2543.4,157.24,11453,3000,126.97,1
124,3397.9,2518.7,157.24,13471,3000,116.91,1
128,2171.5,2298.5,239.81,6895.9,3000,134.02,1
129,2195.6,2275.8,239.81,11947,3000,146.79,1
129,3419.2,2612.1,223.66,4730.3,3000,165.03,1
130,2215,2299.4,239.81,12175,3000,127.83,1
131,2617.3,3302.4,183.01,19169,3000,115.07,1
132,2594.2,3291.5,183.01,7089.7,3000,150.09,1
135,3721.2,2516,-0.067841,0.0003,3000,2.31E+05,1
136,3738.3,2497.7,-0.067841,5182.4,3000,136.47,1
139,2710.8,2498,-127.95,7594.8,3000,157.52,0
154,3858.8,2463.6,123.51,4165.7,3000,132.33,1
155,3870.9,2474.1,123.51,5933.2,3000,131.07,1
156,3833.6,2507.2,123.51,10822,3000,141.96,1
157,325.69,1080.4,-298.4,3970.6,3000,70.614,0
159,1949.6,3955.6,60.291,7517.4,3000,127.71,1
160,1953.4,3918.4,60.291,7126.6,3000,116.33,1
162,2192.4,3416.6,61.678,4431.9,3000,160.91,1
163,2192.5,3429,61.678,10167,3000,142.22,1
164,2173.4,3441.8,61.678,8790.4,3000,132.57,1
164,3594.4,707.5,-504.3,5600.6,3000,182.5,0
165,3638.9,741.65,-504.3,7519.9,3000,153.28,0
167,1395.3,5952.8,517.45,3592.2,3000,210.34,1
168,1911.5,3954.1,60.274,7735.7,3000,178.49,1
169,1985.6,3872.1,60.274,4802,3000,94.249,0
171,1973.5,3944.4,132.49,11592,3000,111.02,1
171,1576.2,4741.3,43.129,5268.8,3000,134.22,1
171,2134.1,2238.7,209.51,12017,3000,136.7,1
172,1980.7,3945.8,132.49,10294,3000,168.18,1
172,1560.2,4686.7,43.129,9213.1,3000,152.73,1
173,1969.4,3969.4,132.49,5398.3,3000,108.65,1
173,1550,4697.1,43.129,6081.6,3000,112.24,1
174,1578.2,4727.6,43.129,9185.1,3000,124.9,1
178,2139.1,3431.1,12.351,5523.4,3000,129.65,1
178,5241,2720.2,195.6,10427,3000,110.48,1
179,2199.2,3418.8,12.351,8038.6,3000,146.87,1
182,2198.8,3394.8,57.445,7289.6,3000,134.35,1
182,3454,1658.3,-358.27,15771,3000,129.95,0
183,3458.2,1666.3,-358.27,15305,3000,130.48,0
183,5924.6,3217.2,365.23,7026.4,3000,152.94,1
184,5924.6,3207.9,365.23,7305.7,3000,137.8,1
185,5942.1,3238.2,365.23,10233,3000,144.05,1
186,5915.9,3232,365.23,7060.1,3000,117.67,1
186,1650.6,4477.1,70.027,10078,3000,124.21,1
186,503.56,1313.5,351.26,5733.7,3000,143.82,1
186,4153.8,2514.9,-5.9919,4510.6,3000,169.74,1
187,1677.3,4433.2,70.027,7254.7,3000,127.57,1
187,4181,2533.9,-5.9919,7935.9,3000,174.4,1
188,4197.4,2498.1,-5.9919,8478.5,3000,159.81,1
193,512.58,1376.5,124.35,3879.1,3000,110.86,1
194,3322.9,2435.6,117.89,7529.4,3000,107.32,1
195,3349.3,2455.9,117.89,5004.2,3000,89.969,1
195,461.97,1320.1,306.81,6283.1,3000,139.24,1
196,502.33,1348,306.81,4732.8,3000,141.41,1
197,3261.7,2457.7,36.153,4954.2,3000,117.14,1
199,1500.9,5647.1,-89.589,5890.9,3000,156.49,0
200,3152.7,2900.6,156.16,6682.8,3000,133.76,1
202,3459.2,1610.7,-285.34,7090.4,3000,80.304,0
202,2891.9,3116.2,131.27,5707.6,3000,124.99,1
203,3458.7,1629.1,-285.34,13796,3000,126.06,0
203,2977.5,3044.6,131.27,8252.9,3000,192.26,1
204,3468.4,1623.9,-285.34,12908,3000,128.74,0
204,3136.4,2924.8,105.04,8658.7,3000,153.59,1
204,2363.6,3487.9,88.324,7753.5,3000,167.47,1
206,5168,2717.9,-93.015,4711.2,3000,207.63,0
207,5238.9,2703,-93.015,8971,3000,158.73,0
208,2560.9,3317.4,87.132,9669.1,3000,131.32,1
208,2842,2096.8,-324.11,4049.1,3000,166.34,0
209,2579.2,3350.9,87.132,6483.5,3000,152.17,1
209,2902.1,2092.5,-324.11,6440.5,3000,115.48,0
213,1672.6,2058.1,180.82,6368.4,3000,109.05,1
215,4523.5,2551.1,-83.653,10912,3000,142.91,0
216,4523.4,2424.7,-83.653,3956.4,3000,120.41,0
216,3214.5,2433.8,-68.67,4555,3000,146.39,0
220,4453.3,2511,-92.437,4612.7,3000,159.44,0
220,3181.3,2396.1,242.9,5717.2,3000,115.27,1
221,4479.1,2571.4,-92.437,5071.7,3000,157.35,0
222,1837.6,2189.7,228.12,7871.2,3000,106.12,1
223,1870.4,2192.7,228.12,9512.2,3000,133.91,1
227,1457.1,5411.9,-0.25193,6362.1,3000,168.23,0
227,1712.1,4390.6,380.04,10961,3000,130.24,1
228,1435,5494.6,-0.25193,10333,3000,123.88,1
229,1760.7,2054.5,125.76,3943.7,3000,182.58,1
230,1792.8,4260.1,125.76,10904,3000,149.19,1
230,1545.2,5548.9,-42.079,4419.1,3000,129.18,0
231,1817.9,4240.8,125.76,9610.8,3000,157.83,1
231,1472.1,5445,-42.079,6534.9,3000,166.78,0
232,2858.6,2409.6,85.991,3555.7,3000,86.527,1
233,2879.3,2417.9,85.991,11020,3000,148.48,1
233,4732.4,2592.8,-22.966,7571.6,3000,259.34,0
234,4534.7,2582.4,-22.966,6263,3000,242.76,1
234,1582.4,6130,-70.271,7633.3,3000,140.33,0
234,1582.5,4796.1,432.15,5696,3000,127.43,1
235,1580.2,6137,-70.271,5862.5,3000,197.33,0
235,1590.8,4859.7,432.15,9904.3,3000,144.59,1
235,5993.8,3240.2,198.64,7654.1,3000,133.23,1
236,1521.7,4869.7,-70.271,3960.2,3000,171.87,1
236,5969,3264.6,198.64,5812.4,3000,-113.5,1
236,4515.9,2535.8,-59.082,2524.6,3000,202.93,0
237,1548.3,6070.7,-70.271,3197.7,3000,308.55,0
237,3739.9,2430,126.24,12667,3000,135.97,0
237,1543.8,5450.3,-141.04,2033.7,3000,147.27,0
238,3815.6,2481.6,126.24,8789.7,3000,181.27,0
238,5998.3,3268.3,235.6,5578,3000,119.09,1
239,3667.8,2474.5,126.24,6478.4,3000,131.71,1
245,1536.4,4772.6,132.19,6911.7,3000,141.31,1
246,1538.4,4765.4,132.19,6156.4,3000,174.44,1
247,2862.6,2358.3,93.268,3626.8,3000,229.32,1
248,2860,2426.2,93.268,6529.5,3000,145.47,1
256,1485.9,5839.8,299.34,3494.5,3000,82.982,1
261,6222.5,3080.8,-230.74,6124.4,3000,150.92,0
262,6190.9,3081.6,-230.74,9124,3000,161.01,0
263,6197.1,3126.3,-230.74,4192.5,3000,138.02,0
263,1550.1,6168.6,-198.96,8850.8,3000,133.81,0
264,1458.4,6284.3,-198.96,5485.2,3000,138.28,1
278,2487.8,2884.5,-73.692,8441.5,3000,187.89,0
279,2512.8,2838.3,-73.692,12007,3000,147,0
281,1539.3,5930.3,-46.886,4489.5,3000,174.33,0
282,1533,5896.3,-46.886,6901.6,3000,165.04,0
283,1546.4,5913.7,-46.886,3196,3000,209.06,0
287,5625.7,2987.4,227.87,8477.5,3000,143.48,1
292,4061.9,2421.2,24.506,4586.2,3000,106.93,0
293,4050.7,2474.4,24.506,9059.9,3000,157.01,0
294,4009.5,2491,24.506,6891.4,3000,143.39,1
297,3132.1,1880.3,-354.79,4109.5,3000,93.875,0
297,1512.4,5151.5,475.57,5983.8,3000,183.58,1
298,1537.7,5139.4,475.57,7888.2,3000,160.41,1
299,1540.2,5221,475.57,4078.1,3000,204.82,1
313,3244.5,2825.4,173.83,10118,3000,122.77,1
320,191.47,889.65,489.97,4529.9,3000,185.05,1
322,5020.8,2671.5,-168.78,7814.4,3000,138.7,0
323,3545.7,2457.9,60.487,6253.2,3000,145.37,1
324,1452.1,5646.9,38.565,6356.5,3000,-88.372,1
325,1431.8,5633.1,38.565,3669,3000,127.47,1
325,4761.1,2544.1,207.9,9259.9,3000,143.22,1
326,4745.3,2533.7,207.9,10301,3000,157.97,1
327,4775.9,2536.7,207.9,10985,3000,106.34,1
328,1445.5,5680.1,-116.61,7074.3,3000,167.82,0
329,1416.5,5690.2,-116.61,4859.8,3000,153.57,1
331,1781.9,4212.9,263.1,11273,3000,128.86,1
332,1712.8,4141.4,263.1,3883.8,3000,136.39,1
333,1792.7,4213.6,263.1,5740.4,3000,129.5,1
333,3497.7,1488.8,-277.4,9489.5,3000,137.58,0
334,1749.7,4209.3,263.1,5097.1,3000,145.48,1
342,386.95,1148.4,217.94,6590.6,3000,125.11,1
343,426.19,1176.5,217.94,5118.8,3000,171.28,1
344,3235.9,2425.7,126.12,11071,3000,151.88,1
344,6003.7,3024.2,-146.02,5698.1,3000,187.08,0
345,3231.8,2465.7,126.12,11418,3000,133.39,1
345,1767.5,4060.5,212.28,3738.5,3000,171.63,1
346,3341.9,2523.3,126.12,7590.2,3000,167.57,0
346,1801.4,4126.3,212.28,14102,3000,120.73,1
347,3290.6,2487.6,126.12,3562.3,3000,151.07,1
347,1793.5,4144.7,212.28,9671.9,3000,152.33,1
347,5397.8,2799.4,181.32,10502,3000,115.56,1
348,5384.9,2816.1,181.32,9631.2,3000,130.19,1
349,5402.2,2798.3,181.32,10438,3000,119.91,1
349,3081.8,1938.2,-277.02,4185,3000,79.282,0
350,6005.3,2971,-143.01,10036,3000,130.89,0
351,6064.7,2969.8,-143.01,7268,3000,126.41,0
352,2427.4,2989.1,41.451,7868.8,3000,148.34,1
353,2472,3023.4,41.451,8286.6,3000,186.81,0
353,6009.4,3057.8,-133.85,3370.6,3000,160.47,0
354,2344.7,3120.2,41.451,6257.7,3000,292.75,0
355,2178,3389.6,41.451,9616.3,3000,138.89,1
356,2195.1,3418.5,41.451,11464,3000,133.83,1
357,2163.9,3386.1,41.451,9498.5,3000,157.42,1
357,1491.6,5789.5,-60.169,3472.9,3000,186.64,0
358,2165.3,3390.2,41.451,8777.3,3000,140.76,1
358,1512,5787.7,-60.169,6121.3,3000,133.57,0
358,5331.2,2891.2,-18.476,3026.4,3000,168.41,1
359,1437.7,5837.8,-60.169,4043.2,3000,144.59,1
361,4503.8,2607.8,16.665,5621.8,3000,152.04,1
362,3990.3,2463.8,49.666,9193.2,3000,139.38,1
362,5398.5,2778.8,-72.13,4881.5,3000,205.46,0
363,4143.8,2420.2,49.666,3488,3000,305.45,0
363,4445.8,2623.4,16.017,3675.8,3000,315.52,1
363,715.77,1697.9,386.84,7902,3000,145.22,1
364,2670.9,2615.6,-105.04,12666,3000,145.98,0
364,4737,2591.5,-74.664,12614,3000,205.73,0
365,2653.6,2593.5,-105.04,11077,3000,151.59,0
365,4856.6,2597.4,-74.664,8663.6,3000,192.62,0
366,4829.6,2675.4,-74.664,6866.3,3000,210.5,1
366,5397.5,2790.8,-151.31,6293.5,3000,191.66,0
366,3372,2432.4,49.356,5533.6,3000,97.425,1
367,3470.7,2497.1,49.356,9422.7,3000,148.35,0
367,2670.7,2572.3,-119.83,6115.3,3000,137.1,0
368,5406.6,2774.2,-93.807,8311.5,3000,149.61,0
370,2666.4,2619,-256.44,5859.4,3000,148.07,0
372,2200.5,3719.3,88.519,9123.2,3000,120.14,1
372,3656.5,2514.4,21.214,11098,3000,131.83,1
373,2212.4,3678.5,88.519,5797.4,3000,148.9,1
373,3665.6,2489.1,21.214,7990.8,3000,165.55,1
375,1782.2,4092.3,314.77,15641,3000,122.92,1
376,1776,4119.8,314.77,7283,3000,136.18,1
376,2512.1,2870.7,-73.023,9873.5,3000,152.18,0
377,2516.6,2840,-73.023,3919.5,3000,307.16,0
377,1421,5156.8,-7.9243,8141.4,3000,156.47,1
377,2787.1,2371.7,203,8363.2,3000,177.67,1
378,2802.6,2213,203,6221.6,3000,218.86,0
380,2869.2,2341,263.15,6790.1,3000,117.51,1
385,2656.5,2636.2,-119.76,9968.5,3000,144.12,0
385,1619.9,4636,202.61,8589.8,3000,120.19,1
386,1614.4,4641.6,202.61,21527,3000,136.58,1
387,1619.4,4645.8,202.61,4245.1,3000,111.74,1
389,3431,2460.3,85.351,8255.4,3000,143.52,1
396,6148.8,3042.8,-180.29,5486.9,3000,137.73,0
400,2668.8,3250.2,128.2,7990.6,3000,121.73,1
401,2233.2,3450.4,161.17,5515.1,3000,131.39,1
402,3922.4,2506.8,25.987,7416.3,3000,202.41,1
403,3890.9,2486.9,25.987,16074,3000,169.14,1
403,1708.2,2064.7,217.14,4805.3,3000,104.95,1
404,3918.2,2467.5,25.987,5399.6,3000,186.17,0
404,1724.8,2112.4,217.14,15653,3000,132.53,1
405,1686.9,2079.7,217.14,12452,3000,121.66,1
407,1696.2,2074.9,272.71,10846,3000,124.05,1
408,1694.3,2124.5,272.71,10451,3000,149.09,1
408,2369,2337.5,179.61,10655,3000,121.51,1
409,2359.4,2340.7,179.61,13459,3000,141.18,1
409,1863.3,4122.1,129.85,4679.7,3000,96.079,1
410,2340.9,2349.9,179.61,9215.1,3000,155.9,1
410,1840.9,4165.5,129.85,9717.8,3000,147.54,1
411,2382.5,2303.9,179.61,5997,3000,122.26,1
415,4021.2,2587.7,229.07,5486,3000,123.32,1
416,3338.6,2650.4,164.49,7596,3000,129.02,1
418,3639.1,2449.7,45.057,7622.2,3000,181.26,1
418,4903.7,2639.1,-110.68,3908.2,3000,163.44,0
420,3349.7,2606.9,85.109,6356.9,3000,140.89,1
422,5599.3,2889.9,165.82,10607,3000,122.34,1
423,5554.3,2912.4,165.82,5451.9,3000,170.88,1
431,1754,4139.8,264.43,8631.9,3000,137.12,1
432,1769.8,4163.5,264.43,14715,3000,130.12,1
432,3011.2,1953.9,-309.32,8740.6,3000,143.42,0
433,3008.5,1912.8,-309.32,6159.2,3000,138.67,0
433,3625.9,654.56,-519.45,9039,3000,107.92,0
434,3627,757.15,-519.45,4867,3000,230.04,0
435,3660.5,699.07,-519.45,7912.4,3000,151.56,0
435,2344.2,3093.6,-78.06,6094.8,3000,101.54,1
435,1729.8,4184.4,222.66,7397.9,3000,138.2,1
436,3713.3,694.71,-519.45,5594.1,3000,148.47,0
438,1601.7,6308.4,-225.45,6341.8,3000,127.42,0
441,4584.5,2510.1,-77.948,4720.1,3000,145.39,0
447,4621.8,2558.2,-59.266,7592.5,3000,149.6,0
450,4562.9,2529.8,-110.41,6015.7,3000,189.35,0
451,4555.1,2534.2,-110.41,8153,3000,115.45,0
451,1921.6,2221.4,174.69,4829.4,3000,142.63,1
452,1941.1,2176.9,174.69,6240.5,3000,112.64,1
453,3118.1,1927.3,-289.78,3577.3,3000,99.869,0
455,3075.8,1896.6,-370.25,13386,3000,122.99,0
456,3054.8,1918.3,-370.25,14679,3000,133.06,0
456,4672.5,2495.6,-58.704,4684.5,3000,127.36,0
457,3062.6,1910,-370.25,15672,3000,137.49,0
458,3071,1893.8,-370.25,3558.4,3000,142.84,0
459,1537.1,1941.5,243.62,10001,3000,108.87,1
460,1514.5,1943.3,243.62,9231.9,3000,113.54,1
462,1515.5,1954.9,170.07,6462.6,3000,137.41,1
464,4558.1,2554.9,-131.27,3914.1,3000,137.44,0
465,1525.4,1989.8,265.33,6784.9,3000,136.49,1
465,3923.7,2519.3,157.34,6617.2,3000,150.93,1
466,3955.1,2522.6,157.34,4467,3000,226.19,1
466,4773.7,2602,-56.431,5880.9,3000,212.63,0
467,3942.3,2540.8,157.34,3987.5,3000,259.16,1
467,4793.5,2586.3,-56.431,7341.2,3000,225.47,0
468,4231.2,2487,-42.837,5617.3,3000,124.85,0
472,4552.7,2549.9,127.93,4723.5,3000,126.49,1
475,1934.6,4041.9,136.23,13945,3000,126.18,1
475,2222.4,2284.5,207.97,8732.1,3000,128.11,1
476,1939.8,4015.5,136.23,10401,3000,133.21,1
476,2236.4,2311.4,207.97,14626,3000,116.37,1
477,2254.2,2305.1,207.97,14832,3000,115.42,1
477,5037,2692.5,-124.14,8849.6,3000,163.06,0
478,2218.9,2235.3,207.97,6470.7,3000,115.7,1
481,4761.1,2558.5,-56.276,4863.8,3000,128.67,0
482,4631.3,2643.5,-56.276,3897.6,3000,193.61,1
483,3898.5,2546.6,382.65,3844.9,3000,179.13,1
486,6283,3587.8,236.31,6426.1,3000,130.55,1
487,3360.3,1744.7,-391.75,9831.2,3000,151.7,0
488,3378.4,1740.7,-391.75,15851,3000,136.25,0
489,3429.5,1772.3,-391.75,6083.6,3000,95.599,0
489,1517.4,4758.7,74.192,9039.1,3000,128.8,1
490,1546.7,4711.8,74.192,9224.9,3000,152.07,1
491,1582.2,4751.2,74.192,10030,3000,122.47,1
491,2159.8,3492.4,82.664,4708.1,3000,122.47,1
492,1530.6,4737.1,74.192,10867,3000,122.04,1
492,2209.9,3464.4,82.664,5919.3,3000,127.52,1
493,1539.9,4718.7,74.192,7943.7,3000,151.95,1
494,737.13,1689.5,125.94,4558.1,3000,137.38,1
495,3432.6,2499.5,-323.59,8636.5,3000,106.63,1
496,3442.7,2529.5,-323.59,14452,3000,144.95,1
496,3357.8,1729.9,-398.89,9086.4,3000,136.49,0
497,3445.7,2523.9,-323.59,13752,3000,132.65,1
497,3354.3,1752.2,-398.89,14110,3000,132.33,0
497,2137.1,3489.6,70.312,8306.3,3000,164.67,1
498,3471.6,2472.8,-323.59,11682,3000,160.06,0
498,3353.1,1715.3,-398.89,14068,3000,145.28,0
499,3468.6,2512.9,-323.59,10543,3000,164.49,1
499,3360.1,1716.6,-398.89,15361,3000,127.19,0
499,2509.3,2865,-74.083,5780.6,3000,166.76,0
500,3438.4,1725.3,-323.59,7728.3,3000,123.15,0
500,2505.4,2855.4,-74.083,9961.1,3000,174.29,0
501,3400,1757.7,-323.59,10711,3000,136.51,0
502,3403.9,1745.4,-323.59,15742,3000,128.82,0
503,3366.6,1705.5,-323.59,6123.1,3000,131.31,0
509,1698.5,4325.2,422.82,3440.8,3000,150.72,1
509,2236.7,3660.7,136.64,6115.6,3000,119.54,1
511,278.75,985.67,294.05,4322.2,3000,132.99,1
512,262.4,1023.2,294.05,5136.5,3000,132.07,1
512,1504,5271.4,519.47,5625.1,3000,203.95,1
512,1951.2,3821,131.38,9986.7,3000,138.03,1
513,1479.2,5281.4,519.47,4523.6,3000,195.8,1
513,1947.5,3800.3,131.38,13824,3000,127.93,1
514,1917.8,3778.5,131.38,13716,3000,137.37,1
515,1950,3785.5,131.38,12545,3000,138.52,1
516,1512.2,5381.8,545.69,3643.2,3000,227.88,1
517,1922.6,3813.8,133.57,15151,3000,128.93,1
518,1950.4,3823.6,133.57,7722.6,3000,139.23,1
525,3177.3,1855.6,-280.43,6618.6,3000,156.73,0
526,3200.8,1888,-280.43,12172,3000,123.14,0
530,1484.2,5415.4,86.037,6037.9,3000,154.95,1
539,3324.9,2589.8,159.82,4595.1,3000,85.593,1
540,3297.3,2680,159.82,12867,3000,131.89,1
540,1769.2,4271.8,116.07,11868,3000,129.86,1
548,5922.2,3240.3,233.4,9322.2,3000,125.88,1
549,5969.1,3237.5,233.4,11499,3000,107.63,1
549,5187.4,2727.8,-66.008,5167.3,3000,174.6,1
550,5995,3223.8,233.4,8870.8,3000,135.7,1
551,5904.5,3260.5,233.4,8796.1,3000,134.3,1
551,3855.8,2552.2,151.06,8474.7,3000,105.18,1
552,5942,3249.5,233.4,6684.8,3000,129.96,1
554,778.85,1679,265.48,5234.6,3000,125.32,1
555,729.62,1753.5,265.48,7529.6,3000,140.96,1
556,3009.7,1912.7,-326.2,15487,3000,124.76,0
557,3087,1954.2,-326.2,6694.4,3000,89.345,0
560,3503.9,1762.2,466.41,1.80E+13,3000,-124.41,1
566,417.8,1121.6,198.67,6554.1,3000,134.09,1
568,431.84,1252.3,480.23,4565.7,3000,179.68,1
569,370.56,1137,480.23,5256.8,3000,177.82,1
569,3873.1,2483,51.604,6033.9,3000,149.9,1
570,4381.2,2517.3,-35.762,3448.9,3000,287.37,0
571,4277.2,2512,-35.762,7835,3000,212.6,1
573,3949.9,2534.8,13.935,5031.5,3000,172.68,1
574,3905.8,2478,13.935,9189.5,3000,203.62,1
575,3903.7,2476.8,13.935,9284.3,3000,168.75,1
576,3937,2474.3,13.935,2092.5,3000,191.55,1
579,2787.8,3185.4,166.05,8675.2,3000,128.75,1
579,4641.7,2477.7,122.71,4120.9,3000,127.34,1
580,2773.5,3176.4,166.05,14280,3000,133.89,1
580,4638.1,2535.1,122.71,5027.3,3000,127.85,1
581,4321.6,2533.4,-37.706,7991.2,3000,151.01,1
582,4406.1,2514.7,-37.706,9874.8,3000,165.11,0
583,4340.9,2573.4,-37.706,4823.5,3000,201.86,1
585,3510.8,789.73,-431.85,4145.3,3000,160.04,0
585,3843.5,2523.9,37.041,3686.5,3000,196.65,1
586,3453,849.4,-431.85,6449.1,3000,178.96,0
587,3386.4,1667,-431.85,5310.9,3000,146.64,0
587,1709.1,4380.7,231.63,8819.9,3000,124.93,1
587,2763.3,2384.6,201.42,12255,3000,133.87,1
588,3384.1,1624.4,-431.85,6617.1,3000,155.32,0
588,1731.1,4329.8,231.63,11593,3000,129.67,1
588,2779,2400,201.42,3744.6,3000,132.29,1
589,3378,1672.3,-431.85,10433,3000,117.13,0
589,2767.5,2386.9,201.42,10858,3000,140.13,0
590,2662,2576.2,201.42,7488.9,3000,216.24,0
591,2627.2,2569.9,201.42,7590.6,3000,140.24,0
591,3246.6,2451.8,123.68,4902.2,3000,218.03,1
592,3386.6,2556.7,123.68,24727,3000,-38851,1
593,2684.4,2602.1,-128.45,10976,3000,163.96,0
594,2679.2,2548.2,-128.45,6124.8,3000,137.43,0
596,2122.9,2264.7,303.29,7072.9,3000,113.29,1
597,2097.1,2234.4,303.29,7482.4,3000,143.39,1
604,5747.6,3072.3,370.23,6140.4,3000,133.03,1
607,4627.4,2563.4,185.56,6007.9,3000,96.208,1
608,4690.2,2507,185.56,3480.9,3000,88.088,1
610,1023.7,1772.8,244.77,9263.5,3000,142.06,1
611,993.72,1774.4,244.77,9407.3,3000,139.44,1
611,4468.5,2541.7,180.4,6170.7,3000,139.79,1
613,2408.4,3483.5,96.476,12768,3000,132.46,1
613,1504.6,5629.5,-33.241,4868.7,3000,125.73,0
613,4466.6,2595.8,120.26,4144.2,3000,162.95,1
614,2443.5,3421.2,96.476,5128.7,3000,120.9,1
