Ground-truth,frame,xnano,ynano,znano,intensity 
  103,    68, 57.409, 860.667, 333.002, 41.256 
  104,    69, 57.409, 860.667, 333.002, 456.501 
  105,    70, 57.409, 860.667, 333.002, 456.501 
  106,    71, 57.409, 860.667, 333.002, 335.675 
  107,    79, 57.409, 860.667, 333.002, 229.216 
  108,    80, 57.409, 860.667, 333.002, 456.501 
  109,    81, 57.409, 860.667, 333.002, 224.088 
  110,    82, 57.409, 860.667, 333.002, 131.720 
  111,    83, 57.409, 860.667, 333.002, 122.733 
  112, 13363, 20.079, 842.081, 337.121, 198.646 
  113, 13364, 20.079, 842.081, 337.121, 430.817 
  114, 13365, 20.079, 842.081, 337.121, 430.817 
  115, 13366, 20.079, 842.081, 337.121, 430.817 
  116, 13367, 20.079, 842.081, 337.121, 38.724 
  117, 10781, 24.615, 846.122, 333.321, 197.765 
  118, 13011, 84.412, 870.844, 341.156, 59.579 
  119, 13012, 84.412, 870.844, 341.156, 11.578 
  120, 12284, 55.002, 858.637, 349.557, 89.907 
  121,  6496, 85.640, 871.453, 332.388, 154.738 
  122, 14973, 74.740, 870.116, 330.739, 228.765 
  123, 14974, 74.740, 870.116, 330.739, 87.967 
  124, 14980, 74.740, 870.116, 330.739, 206.486 
  125, 14981, 74.740, 870.116, 330.739, 466.397 
  126, 14982, 74.740, 870.116, 330.739, 114.307 
  127, 12036, 39.844, 846.701, 351.169, 393.473 
  128, 12037, 39.844, 846.701, 351.169, 434.839 
  129, 12038, 39.844, 846.701, 351.169, 344.327 
  130,   126, 70.208, 864.038, 350.239, 44.461 
  131,   134, 70.208, 864.038, 350.239, 133.660 
  132,   135, 70.208, 864.038, 350.239, 240.265 
  133, 15308, 76.580, 875.788, 351.740, 158.949 
  134, 15309, 76.580, 875.788, 351.740, 477.400 
  135, 15313, 76.580, 875.788, 351.740, 68.968 
  136, 15314, 76.580, 875.788, 351.740, 496.858 
  137, 15315, 76.580, 875.788, 351.740, 496.858 
  138, 15316, 76.580, 875.788, 351.740, 496.858 
  139, 15317, 76.580, 875.788, 351.740, 254.555 
  140, 15196, 45.472, 854.250, 350.515, 123.845 
  141, 15197, 45.472, 854.250, 350.515, 341.664 
  142, 19240, 32.313, 838.638, 350.992, 177.899 
  143, 19241, 32.313, 838.638, 350.992, 466.682 
  144, 19242, 32.313, 838.638, 350.992, 466.682 
  145, 19243, 32.313, 838.638, 350.992, 262.188 
  146,  7385, 23.873, 832.327, 354.545, 375.211 
  147,  7386, 23.873, 832.327, 354.545, 139.800 
  148,  7390, 23.873, 832.327, 354.545, 21.820 
  149,  7391, 23.873, 832.327, 354.545, 444.116 
  150,  7392, 23.873, 832.327, 354.545, 33.942 
  151,  7177, 18.340, 841.958, 350.540, 308.071 
  152, 13674, 21.612, 834.983, 353.262, 51.205 
  153, 13675, 21.612, 834.983, 353.262, 394.887 
  154, 13678, 21.612, 834.983, 353.262, 220.574 
  155, 10870, 53.612, 865.733, 350.939, 398.942 
  156, 10871, 53.612, 865.733, 350.939, 475.544 
  157, 10872, 53.612, 865.733, 350.939, 475.544 
  158, 10873, 53.612, 865.733, 350.939, 77.195 
  159,  3540, 13.935, 829.418, 353.396, 268.096 
  160,  3541, 13.935, 829.418, 353.396, 72.685 
  161,  6262, 117.705, 893.118, 336.263, 41.030 
  162,  6263, 117.705, 893.118, 336.263, 188.246 
  163,  6264, 117.705, 893.118, 336.263, 10.984 
  164,  6265, 117.705, 893.118, 336.263, 10.394 
  165,  3472, 104.133, 885.375, 348.852, 21.591 
  166,  3473, 104.133, 885.375, 348.852, 111.773 
  167, 10724, 108.011, 891.418, 329.653, 294.943 
  168, 10008, 122.421, 894.671, 331.982, 430.321 
  169, 10009, 122.421, 894.671, 331.982, 116.451 
  170, 10011, 122.421, 894.671, 331.982, 399.515 
  171, 10012, 122.421, 894.671, 331.982, 463.497 
  172, 10013, 122.421, 894.671, 331.982, 450.450 
  173,  1270, 108.455, 889.023, 336.353, 19.186 
  174,  6405, 125.460, 899.005, 341.437, 52.050 
  175,  5113, 175.633, 944.889, 344.513, 84.934 
  176,  5114, 175.633, 944.889, 344.513, 531.396 
  177,  5115, 175.633, 944.889, 344.513, 130.063 
  178, 11887, 132.513, 921.375, 337.760, 206.614 
  179, 11888, 132.513, 921.375, 337.760, 488.569 
  180, 11889, 132.513, 921.375, 337.760, 161.795 
  181,  9242, 158.456, 920.692, 329.781, 277.877 
  182, 16042, 164.501, 939.112, 342.178, 210.757 
  183,   319, 154.101, 918.335, 341.055, 28.978 
  184,   320, 154.101, 918.335, 341.055, 480.642 
  185,   321, 154.101, 918.335, 341.055, 105.504 
  186,  4369, 145.052, 911.322, 342.946, 134.985 
  187,  4370, 145.052, 911.322, 342.946, 506.498 
  188,  4371, 145.052, 911.322, 342.946, 58.690 
  189, 15886, 199.637, 956.123, 345.227, 503.309 
  190, 15887, 199.637, 956.123, 345.227, 348.883 
  191, 14764, 136.451, 909.715, 347.871, 360.850 
  192, 14765, 136.451, 909.715, 347.871, 518.328 
  193, 14766, 136.451, 909.715, 347.871, 136.576 
  194, 16537, 157.077, 922.557, 326.644, 163.845 
  195,  8995, 110.895, 903.812, 331.888, 417.416 
  196,  8996, 110.895, 903.812, 331.888, 12.965 
  197,  9004, 110.895, 903.812, 331.888, 340.447 
  198,  9005, 110.895, 903.812, 331.888, 458.877 
  199,  9006, 110.895, 903.812, 331.888, 425.882 
  200,  9007, 110.895, 903.812, 331.888, 458.877 
  201,  9008, 110.895, 903.812, 331.888, 458.877 
  202,  9009, 110.895, 903.812, 331.888, 458.877 
  203,  9010, 110.895, 903.812, 331.888, 458.877 
  204,  9011, 110.895, 903.812, 331.888, 453.550 
  205,  5949, 158.176, 928.314, 345.589, 328.489 
  206,  5950, 158.176, 928.314, 345.589, 522.237 
  207,  5951, 158.176, 928.314, 345.589, 199.679 
  208, 14530, 187.731, 938.377, 331.503, 426.725 
  209, 14531, 187.731, 938.377, 331.503, 273.101 
  210, 16445, 125.318, 915.744, 339.463, 147.277 
  211, 16446, 125.318, 915.744, 339.463, 380.344 
  212, 16447, 125.318, 915.744, 339.463, 62.932 
  213, 13986, 165.626, 927.525, 331.442, 141.839 
  214, 13991, 165.626, 927.525, 331.442, 412.360 
  215, 13992, 165.626, 927.525, 331.442, 488.359 
  216, 13993, 165.626, 927.525, 331.442, 488.359 
  217, 13994, 165.626, 927.525, 331.442, 488.359 
  218, 13995, 165.626, 927.525, 331.442, 130.451 
  219,    44, 122.105, 901.233, 349.897, 40.137 
  220,    50, 122.105, 901.233, 349.897, 238.309 
  221,    51, 122.105, 901.233, 349.897, 135.802 
  222, 12432, 163.226, 926.734, 341.940, 419.516 
  223, 12433, 163.226, 926.734, 341.940, 57.665 
  224, 14066, 136.938, 905.629, 344.921, 495.721 
  225, 14067, 136.938, 905.629, 344.921, 509.934 
  226, 14068, 136.938, 905.629, 344.921, 509.934 
  227, 14069, 136.938, 905.629, 344.921, 413.926 
  228, 14070, 136.938, 905.629, 344.921, 509.934 
  229, 14071, 136.938, 905.629, 344.921, 509.934 
  230, 14072, 136.938, 905.629, 344.921, 208.450 
  231,  8674, 111.636, 907.260, 342.317, 42.740 
  232,  8675, 111.636, 907.260, 342.317, 489.187 
  233,  8676, 111.636, 907.260, 342.317, 395.403 
  234, 13598, 148.136, 927.842, 329.477, 270.041 
  235, 13599, 148.136, 927.842, 329.477, 512.820 
  236, 13600, 148.136, 927.842, 329.477, 512.820 
  237, 13601, 148.136, 927.842, 329.477, 372.196 
  238, 18101, 145.229, 910.143, 340.457, 389.283 
  239, 18104, 145.229, 910.143, 340.457, 84.369 
  240, 18105, 145.229, 910.143, 340.457, 129.041 
  241, 18966, 123.147, 913.406, 328.848, 46.000 
  242, 18967, 123.147, 913.406, 328.848, 486.836 
  243, 18968, 123.147, 913.406, 328.848, 89.684 
  244, 13523, 177.372, 932.479, 335.407, 403.426 
  245, 13525, 177.372, 932.479, 335.407, 302.015 
  246, 13526, 177.372, 932.479, 335.407, 455.073 
  247, 13527, 177.372, 932.479, 335.407, 484.190 
  248, 13528, 177.372, 932.479, 335.407, 522.066 
  249, 13529, 177.372, 932.479, 335.407, 65.984 
  250, 10412, 171.340, 944.549, 345.865, 67.297 
  251, 10413, 171.340, 944.549, 345.865, 534.774 
  252, 10414, 171.340, 944.549, 345.865, 534.774 
  253, 10415, 171.340, 944.549, 345.865, 103.727 
  254, 15660, 159.976, 939.832, 341.257, 124.938 
  255, 15661, 159.976, 939.832, 341.257, 314.513 
  256,  1946, 147.824, 926.490, 329.109, 480.455 
  257,  1947, 147.824, 926.490, 329.109, 276.102 
  258,  1949, 147.824, 926.490, 329.109, 213.896 
  259, 13557, 184.505, 946.833, 325.508, 249.966 
  260, 13558, 184.505, 946.833, 325.508, 197.996 
  261, 16354, 182.341, 942.181, 327.621, 278.562 
  262, 16355, 182.341, 942.181, 327.621, 240.267 
  263, 11343, 127.777, 913.255, 331.994, 500.002 
  264, 11344, 127.777, 913.255, 331.994, 189.763 
  265, 13312, 111.955, 901.535, 346.069, 415.305 
  266, 13313, 111.955, 901.535, 346.069, 199.931 
  267,  7782, 184.456, 955.883, 335.171, 264.240 
  268,  7783, 184.456, 955.883, 335.171, 486.975 
  269,  7784, 184.456, 955.883, 335.171, 486.975 
  270,  7785, 184.456, 955.883, 335.171, 43.470 
  271,  7500, 221.786, 964.156, 325.245, 29.370 
  272,  7501, 221.786, 964.156, 325.245, 99.505 
  273,  7977, 222.398, 961.887, 332.693, 156.528 
  274,  7978, 222.398, 961.887, 332.693, 308.602 
  275,  7979, 222.398, 961.887, 332.693, 173.814 
  276,  7980, 222.398, 961.887, 332.693, 523.174 
  277,  7981, 222.398, 961.887, 332.693, 523.174 
  278,  7982, 222.398, 961.887, 332.693, 523.174 
  279,  7983, 222.398, 961.887, 332.693, 226.438 
  280,  7986, 222.398, 961.887, 332.693, 71.171 
  281,  8931, 254.042, 985.539, 339.191, 8.787 
  282,  8934, 254.042, 985.539, 339.191, 520.045 
  283,  8935, 254.042, 985.539, 339.191, 543.538 
  284,  8936, 254.042, 985.539, 339.191, 422.589 
  285,  5017, 222.831, 982.675, 331.131, 239.925 
  286,  5018, 222.831, 982.675, 331.131, 506.196 
  287,  5019, 222.831, 982.675, 331.131, 115.783 
  288, 17498, 212.505, 953.089, 334.701, 221.492 
  289, 17499, 212.505, 953.089, 334.701, 504.180 
  290, 17500, 212.505, 953.089, 334.701, 291.747 
  291,  9371, 200.193, 966.206, 332.586, 66.179 
  292,  9372, 200.193, 966.206, 332.586, 506.095 
  293,  9373, 200.193, 966.206, 332.586, 506.095 
  294,  9374, 200.193, 966.206, 332.586, 245.904 
  295,  9381, 200.193, 966.206, 332.586, 13.820 
  296, 17105, 265.328, 993.880, 339.016, 494.973 
  297, 17106, 265.328, 993.880, 339.016, 514.330 
  298, 17107, 265.328, 993.880, 339.016, 514.330 
  299, 17108, 265.328, 993.880, 339.016, 514.330 
  300, 17109, 265.328, 993.880, 339.016, 514.330 
  301, 17110, 265.328, 993.880, 339.016, 514.330 
  302, 17111, 265.328, 993.880, 339.016, 84.892 
  303,  2818, 206.332, 971.149, 340.606, 122.161 
  304,  2819, 206.332, 971.149, 340.606, 481.327 
  305,  2099, 251.742, 987.093, 339.798, 145.909 
  306, 12270, 243.688, 988.470, 323.902, 139.075 
  307, 12272, 243.688, 988.470, 323.902, 355.326 
  308, 12930, 248.475, 983.851, 333.644, 20.685 
  309, 14322, 202.086, 971.463, 335.404, 258.589 
  310, 14323, 202.086, 971.463, 335.404, 539.747 
  311, 14324, 202.086, 971.463, 335.404, 184.435 
  312, 10764, 255.697, 986.627, 333.801, 418.492 
  313, 10765, 255.697, 986.627, 333.801, 445.611 
  314, 10766, 255.697, 986.627, 333.801, 76.666 
  315, 11535, 260.155, 991.696, 324.030, 128.268 
  316,  2692, 241.703, 975.658, 328.989, 44.336 
  317,  2693, 241.703, 975.658, 328.989, 479.570 
  318,  6493, 230.348, 972.289, 328.892, 252.543 
  319, 11673, 246.307, 983.050, 328.328, 152.817 
  320,  4475, 257.430, 990.624, 327.560, 502.399 
  321,  4476, 257.430, 990.624, 327.560, 450.983 
  322,  4477, 257.430, 990.624, 327.560, 562.911 
  323, 14673, 214.038, 960.295, 342.525, 279.543 
  324,  8950, 230.667, 985.667, 326.720, 509.945 
  325,  8951, 230.667, 985.667, 326.720, 512.372 
  326,  8952, 230.667, 985.667, 326.720, 512.372 
  327,  8953, 230.667, 985.667, 326.720, 109.375 
  328, 18771, 241.954, 976.473, 340.699, 85.623 
  329, 19011, 202.421, 961.349, 345.199, 70.299 
  330, 10333, 219.357, 960.420, 332.992, 232.434 
  331, 10334, 219.357, 960.420, 332.992, 130.387 
  332, 13900, 227.314, 970.909, 327.183, 279.467 
  333, 13901, 227.314, 970.909, 327.183, 99.760 
  334, 13902, 227.314, 970.909, 327.183, 102.648 
  335,  3943, 232.217, 968.441, 335.103, 457.875 
  336,  3944, 232.217, 968.441, 335.103, 206.852 
  337,  8616, 233.350, 978.045, 342.622, 388.354 
  338,  8617, 233.350, 978.045, 342.622, 504.544 
  339,  8618, 233.350, 978.045, 342.622, 221.825 
  340,  8619, 233.350, 978.045, 342.622, 207.684 
  341,  8631, 233.350, 978.045, 342.622, 32.311 
  342,  8632, 233.350, 978.045, 342.622, 232.569 
  343, 12123, 260.005, 997.179, 325.649, 81.510 
  344, 12145, 242.071, 996.571, 331.069, 116.820 
  345,  9523, 223.965, 985.648, 333.671, 84.112 
  346,  9830, 233.958, 991.539, 338.108, 120.943 
  347,  9831, 233.958, 991.539, 338.108, 187.729 
  348,  8701, 204.812, 956.045, 341.539, 234.843 
  349,  8702, 204.812, 956.045, 341.539, 280.741 
  350,  8703, 204.812, 956.045, 341.539, 13.785 
  351,  8704, 204.812, 956.045, 341.539, 511.244 
  352,  8705, 204.812, 956.045, 341.539, 511.244 
  353,  8706, 204.812, 956.045, 341.539, 416.529 
  354,  8715, 204.812, 956.045, 341.539, 121.298 
  355,  8716, 204.812, 956.045, 341.539, 259.596 
  356, 19185, 215.110, 967.147, 343.823, 232.456 
  357,  9912, 210.510, 955.345, 331.229, 301.805 
  358,  9913, 210.510, 955.345, 331.229, 539.333 
  359,  9914, 210.510, 955.345, 331.229, 20.687 
  360,  9915, 210.510, 955.345, 331.229, 49.327 
  361,  9916, 210.510, 955.345, 331.229, 336.911 
  362,  1314, 252.457, 997.516, 339.560, 225.158 
  363,  1315, 252.457, 997.516, 339.560, 546.239 
  364,  1316, 252.457, 997.516, 339.560, 546.239 
  365,  1317, 252.457, 997.516, 339.560, 295.991 
  366,  1318, 252.457, 997.516, 339.560, 252.542 
  367,  1178, 200.106, 955.564, 343.766, 116.703 
  368,  1180, 200.106, 955.564, 343.766, 14.606 
  369,  1181, 200.106, 955.564, 343.766, 528.839 
  370,  1182, 200.106, 955.564, 343.766, 509.043 
  371, 13040, 267.987, 996.757, 335.672, 10.821 
  372,  3593, 235.898, 980.953, 324.209, 186.415 
  373,  3594, 235.898, 980.953, 324.209, 555.666 
  374,  3595, 235.898, 980.953, 324.209, 400.456 
  375,  3598, 235.898, 980.953, 324.209, 196.108 
  376, 12599, 286.724, 1012.148, 324.145, 261.980 
  377, 12600, 286.724, 1012.148, 324.145, 101.690 
  378, 12603, 286.724, 1012.148, 324.145, 284.479 
  379, 12604, 286.724, 1012.148, 324.145, 527.622 
  380,  5169, 297.875, 1048.015, 332.008, 112.088 
  381,  5170, 297.875, 1048.015, 332.008, 534.680 
  382,  5171, 297.875, 1048.015, 332.008, 47.578 
  383, 16333, 281.409, 1006.848, 332.126, 125.502 
  384,  3926, 275.549, 1000.584, 334.877, 557.834 
  385,  3927, 275.549, 1000.584, 334.877, 380.926 
  386,  3930, 275.549, 1000.584, 334.877, 528.381 
  387,  3931, 275.549, 1000.584, 334.877, 41.304 
  388,  3933, 275.549, 1000.584, 334.877, 559.331 
  389,  3934, 275.549, 1000.584, 334.877, 559.331 
  390,  3935, 275.549, 1000.584, 334.877, 483.382 
  391,  3936, 275.549, 1000.584, 334.877, 517.693 
  392,  3939, 275.549, 1000.584, 334.877, 530.876 
  393,  3940, 275.549, 1000.584, 334.877, 401.183 
  394,   511, 251.986, 1002.101, 338.480, 486.854 
  395,   512, 251.986, 1002.101, 338.480, 323.130 
  396,  3039, 250.647, 1000.268, 321.434, 297.480 
  397,  3040, 250.647, 1000.268, 321.434, 393.292 
  398, 11266, 286.673, 1009.704, 332.946, 178.547 
  399, 11267, 286.673, 1009.704, 332.946, 521.261 
  400, 11268, 286.673, 1009.704, 332.946, 178.957 
  401,  4121, 274.770, 1026.573, 335.903, 30.052 
  402,  4122, 274.770, 1026.573, 335.903, 549.495 
  403,  4123, 274.770, 1026.573, 335.903, 549.495 
  404,  4124, 274.770, 1026.573, 335.903, 537.006 
  405,  1834, 260.970, 1007.736, 322.272, 359.282 
  406,  1835, 260.970, 1007.736, 322.272, 550.783 
  407,  1836, 260.970, 1007.736, 322.272, 431.241 
  408,  7854, 255.751, 1002.892, 342.501, 168.099 
  409,  7855, 255.751, 1002.892, 342.501, 331.046 
  410,  7857, 255.751, 1002.892, 342.501, 130.676 
  411, 11306, 274.058, 1027.620, 327.865, 53.437 
  412, 11308, 274.058, 1027.620, 327.865, 202.465 
  413, 11309, 274.058, 1027.620, 327.865, 311.701 
  414,  8354, 277.993, 1022.480, 321.797, 333.907 
  415, 19546, 269.574, 1008.388, 324.087, 326.570 
  416, 19547, 269.574, 1008.388, 324.087, 57.606 
  417, 11244, 256.279, 1003.316, 324.978, 206.772 
  418, 11245, 256.279, 1003.316, 324.978, 49.997 
  419,  2734, 265.839, 1006.179, 323.885, 110.954 
  420,  2735, 265.839, 1006.179, 323.885, 153.633 
  421,  9604, 279.355, 1029.624, 323.360, 432.205 
  422,  9605, 279.355, 1029.624, 323.360, 532.542 
  423,  9606, 279.355, 1029.624, 323.360, 82.147 
  424, 15736, 292.221, 1044.290, 327.557, 80.206 
  425, 15737, 292.221, 1044.290, 327.557, 586.297 
  426, 15738, 292.221, 1044.290, 327.557, 586.297 
  427, 15739, 292.221, 1044.290, 327.557, 586.297 
  428, 15740, 292.221, 1044.290, 327.557, 128.235 
  429, 19228, 299.982, 1043.163, 333.972, 352.241 
  430, 19229, 299.982, 1043.163, 333.972, 584.058 
  431, 19230, 299.982, 1043.163, 333.972, 30.643 
  432, 12990, 289.942, 1036.986, 333.631, 371.213 
  433, 12991, 289.942, 1036.986, 333.631, 501.691 
  434,  8268, 318.655, 1068.348, 333.564, 185.561 
  435,  1866, 333.312, 1086.127, 327.125, 369.771 
  436,  1867, 333.312, 1086.127, 327.125, 80.651 
  437, 12139, 300.758, 1046.161, 321.544, 70.452 
  438, 12140, 300.758, 1046.161, 321.544, 313.640 
  439, 12141, 300.758, 1046.161, 321.544, 241.375 
  440, 12146, 300.758, 1046.161, 321.544, 217.971 
  441, 10447, 314.440, 1055.907, 335.956, 178.805 
  442, 10448, 314.440, 1055.907, 335.956, 33.696 
  443, 10289, 340.594, 1091.622, 329.695, 185.982 
  444, 10291, 340.594, 1091.622, 329.695, 95.753 
  445, 10522, 364.155, 1092.153, 328.083, 165.811 
  446, 10523, 364.155, 1092.153, 328.083, 591.294 
  447, 10524, 364.155, 1092.153, 328.083, 175.420 
  448,  3431, 366.106, 1098.183, 317.902, 147.755 
  449, 15531, 316.388, 1063.308, 327.958, 161.005 
  450, 15532, 316.388, 1063.308, 327.958, 572.503 
  451, 15533, 316.388, 1063.308, 327.958, 572.503 
  452, 15534, 316.388, 1063.308, 327.958, 324.379 
  453,  2070, 369.178, 1098.040, 324.440, 351.268 
  454, 12565, 311.928, 1032.557, 325.667, 59.337 
  455, 12566, 311.928, 1032.557, 325.667, 537.741 
  456, 12567, 311.928, 1032.557, 325.667, 62.111 
  457,   665, 344.116, 1073.739, 332.766, 341.411 
  458,   666, 344.116, 1073.739, 332.766, 594.237 
  459,   667, 344.116, 1073.739, 332.766, 594.237 
  460,   668, 344.116, 1073.739, 332.766, 348.812 
  461,   669, 344.116, 1073.739, 332.766, 79.570 
  462, 17875, 334.327, 1071.965, 339.515, 70.875 
  463, 17876, 334.327, 1071.965, 339.515, 417.870 
  464, 17878, 334.327, 1071.965, 339.515, 288.881 
  465, 17879, 334.327, 1071.965, 339.515, 9.612 
  466,  3238, 341.523, 1077.811, 336.897, 103.936 
  467,  3239, 341.523, 1077.811, 336.897, 150.765 
  468, 10995, 322.137, 1073.347, 326.548, 307.939 
  469, 10996, 322.137, 1073.347, 326.548, 86.749 
  470,  9998, 336.774, 1066.681, 333.822, 182.427 
  471,  9999, 336.774, 1066.681, 333.822, 69.792 
  472, 10000, 336.774, 1066.681, 333.822, 239.557 
  473, 12431, 311.994, 1050.611, 321.947, 253.154 
  474, 12432, 311.994, 1050.611, 321.947, 145.231 
  475, 19379, 306.344, 1042.012, 322.039, 330.499 
  476,  9876, 324.475, 1058.077, 318.599, 22.363 
  477, 16854, 362.172, 1095.500, 333.568, 522.471 
  478, 16855, 362.172, 1095.500, 333.568, 111.182 
  479, 18853, 303.342, 1038.720, 336.613, 536.008 
  480, 18854, 303.342, 1038.720, 336.613, 502.936 
  481, 18858, 303.342, 1038.720, 336.613, 149.922 
  482, 12106, 338.737, 1080.206, 335.904, 89.033 
  483, 12107, 338.737, 1080.206, 335.904, 288.008 
  484, 12108, 338.737, 1080.206, 335.904, 108.105 
  485, 12109, 338.737, 1080.206, 335.904, 33.886 
  486, 15349, 346.583, 1099.162, 325.355, 135.959 
  487, 13303, 325.175, 1073.498, 322.901, 222.529 
  488, 19176, 302.827, 1026.495, 335.341, 58.046 
  489, 19268, 321.571, 1064.862, 336.720, 213.153 
  490, 16686, 326.114, 1066.963, 318.828, 55.382 
  491, 16687, 326.114, 1066.963, 318.828, 446.252 
  492, 11011, 312.083, 1038.413, 324.455, 116.649 
  493,  6490, 310.770, 1059.049, 328.442, 161.811 
  494,  6491, 310.770, 1059.049, 328.442, 68.512 
